ROLL,ACTION_1,ACTION_2,DESCRIPTIONS_1,DESCRIPTIONS_2,ADVENTURE_TONE,ALIEN_SPECIES,ANIMAL_ACTIONS,ARMY_DESCRIPTORS,CAVERN_DESCRIPTORS,CHARACTERS,CHARACTERS_ACTIONS_COMBAT,CHARACTERS_ACTIONS_GENERAL,CHARACTERS_APPEARANCE,CHARACTERS_BACKGROUND,CHARACTERS_CONVERSATIONS,CHARACTERS_DESCRIPTORS,CHARACTERS_IDENTITY,CHARACTERS_MOTIVATION,CHARACTERS_PERSONALITY,CHARACTERS_SKILLS,CHARACTERS_TRAITS_FLAWS,CITY_DESCRIPTORS,CIVILZATION_DESCRIPTORS,CREATURE_ABILITIES,CREATURE_DESCRIPTORS,CRYPTIC_MESSAGE,CURSES,DOMICILE_DESCRIPTORS,DUNGEON_DESCRIPTORS,DUNGEON_TRAPS,FOREST_DESCRIPTORS,GODS,LEGENDS,LOCATIONS,MAGIC_ITEM_DESCRIPTORS,MUTATION_DESCRIPTORS,NAMES,NOBLE_HOUSE,OBJECTS,PLOT_TWISTS,POWERS,SCAVENGING_RESULTS,SMELLS,SOUNDS,SPELL_EFFECTS,STARSHIP_DESCRIPTORS,TERRAIN_DESCRIPTORS,UNDEAD_DESCRIPTORS,VISION_DREAMS
11,Carefully,Bureaucracy,Carefully,Cold,Bleak,Beautiful,Bold,Block,Bright,Calm,Assist,Block,Casual,Bizarre,Bizarre,Aromatic,Authority,Conflict,Average,Balance,Burden,Chaotic,Beautiful,Break,Beautiful,Bleak,Burden,Classy,Bleak,Attract,Bizarre,Bestow,Brave,Clean,Book,Block,Be,Change,Communication,Conflict,Chemical,Broken,Clean,Burning,Burn,Business,Bizarre,Bold,Colorful
12,Carelessly,Business,Carelessly,Colorful,Bold,Bizarre,Break,Bold,Cliff,Careless,Attack,Bold,Classy,Bleak,Bleak,Arrogant,Bureaucrat,Control,Awkward,Beginner,Combat,Clean,Bizarre,Breath,Body,Business,Business,Clean,Chamber,Balance,Bleak,Betray,Break,Cluttered,Change,Body,Bih,Commerce,Complicated,Connection,Cold,Clean,Comforting,Busy,Change,Clean,Catastrophe,Bound,Conflict
13,Cautiously,Chaos,Cautiously,Colorless,Busy,Carapace,Busy,Calm,Climb,Casual,Betray,Break,Clean,Bold,Bold,Attractive,Business,Create,Bad,Bestow,Communicate,Cold,Bleak,Carry,Bony,Care,Change,Cluttered,Clean,Beautiful,Block,Bizarre,Burden,Cold,Clothing,Change,Brah,Compromise,Confusing,Consequence,Colorful,Clothes,Cooking,Calm,Cloud,Cold,Chaotic,Cold,Contact
14,Ceaselessly,Comfort,Ceaselessly,Comforting,Calm,Clawed,Calm,Careless,Closed,Cautious,Block,Calm,Clothing,Burden,Business,Awkward,Combatant,Danger,Bitter,Block,Connection,Colorful,Bold,Change,Carapace,Colorful,Compel,Cold,Closed,Bestow,Boulder,Capricious,Carelessness,Colorful,Cloud,Claws,Col,Conflict,Consumable,Control,Combat,Comfort,Decrepit,Ceaseless,Cold,Colorful,City,Combative,Control
15,Cheerfully,Completion,Cheerfully,Creepy,Cheerful,Colorful,Careful,Cautious,Cold,Classy,Bold,Care,Colorful,Business,Calm,Beautiful,Competitor,Death,Bold,Business,Control,Commerce,Bureaucratic,Climb,Clawed,Communicate,Condemn,Colorful,Cold,Betray,Cave,Colorful,Cataclysm,Colorless,Cold,Color,Color,Connections,Container,Danger,Combine,Communicate,Delicious,Celebrate,Communicate,Combative,Civilization,Communicate,Creepy
16,Combatively,Conflict,Combatively,Cute,Colorful,Combative,Careless,Ceaseless,Collapsed,Colorful,Brave,Careful,Common,Care,Careful,Bizarre,Controller,Deceive,Brave,Change,Create,Conflict,Carefree,Cold,Clothed,Conflict,Conflict,Comfort,Collapsed,Bizarre,Chaotic,Combat,Caution,Confusing,Communication,Combat,Cor,Control,Creepy,Death,Communicate,Competition,Delightful,Chaotic,Conceal,Communicat,Cliffs,Control,Crisis
17,Coolly,Cooperation,Coolly,Damaged,Combative,Conquering,Cautious,Celebrate,Colorful,Combative,Break,Careless,Cool,Career,Careless,Bleak,Crafter,Destroy,Calm,Combat,Criminal,Control,Careful,Common,Cold,Creepy,Create,Common,Colorful,Blades,Cliff,Communicate,Change,Cramped,Container,Communicate,Dah,Create,Crude,Delay,Control,Concealment,Dirty,Cheerful,Conjure,Computer,Clouds,Create,Cruelty
18,Crazily,Danger,Crazily,Dark,Competitive,Dangerous,Ceaseless,Colorful,Cracked,Crazy,Calm,Celebrate,Creepy,Chaotic,Cautious,Bold,Creator,Diminish,Careful,Communicate,Damaged,Crime,Careless,Communicate,Color,Damaged,Creepy,Cramped,Creature,Break,Cold,Conflict,Conflict,Creepy,Control,Conceal,Deeds,Crisis,Cute,Destroy,Cosmetic,Conflict,Disagreeable,Clang,Control,Contain,Cold,Creepy,Danger
19,Curiously,Defense,Curiously,Defeated,Conflict,Declining,Change,Communicate,Cramped,Creepy,Careless,Change,Cute,Cheat,Cheerful,Brave,Criminal,Disrupt,Careless,Conflict,Dangerous,Dangerous,Cautious,Conceal,Composite,Danger,Cruel,Creepy,Creepy,Ceiling,Colorful,Control,Control,Crude,Create,Constrain,Del,Cruel,Damaged,Diminish,Create,Container,Disgusting,Combative,Counteract,Control,Colorful,Dangerous,Dark
20,Dangerously,Depletion,Dangerously,Dirty,Crazy,Defensive,Combative,Creepy,Crawl,Curious,Carry,Combative,Dainty,Combat,Classy,Busy,Deceiver,Emotion,Classy,Control,Decrease,Dense,Classy,Contact,Constructed,Death,Danger,Crowded,Damaged,Change,Combative,Corruption,Create,Cute,Curse,Control,Drah,Dangerous,Dangerous,Disaster,Creature,Control,Dry,Communicate,Create,Creepy,Combative,Dark,Death
21,Defiantly,Disadvantage,Defiantly,Disagreeable,Creepy,Desperate,Curious,Deceive,Creature,Dangerous,Cautious,Communicate,Delicate,Commitment,Cold,Calm,Deliverer,Enemy,Cold,Create,Defense,Developed,Clean,Control,Decayed,Deceive,Death,Customized,Danger,Choice,Communicate,Cosmic,Crisis,Damaged,Damage,Create,Eee,Death,Deactivated,Discover,Damage,Crisis,Dull,Construction,Creature,Crew,Communicate,Deceive,Defeat
22,Deliberately,Distraction,Deliberately,Dry,Dangerous,Destructive,Dangerous,Defensive,Creepy,Deceitful,Celebrate,Control,Desperate,Community,Colorful,Capable,Dependent,Environment,Collector,Criminal,Delicate,Dirty,Colorful,Create,Defensive,Defiant,Decrease,Cute,Dark,Climb,Creepy,Create,Damage,Dangerous,Death,Damage,Eh,Deceit,Deliberate,Emotion,Dark,Damaged,Earthy,Conversation,Curse,Damaged,Conflict,Dirty,Disruption
23,Delicately,Elements,Delicately,Dull,Dark,Dominating,Deliberate,Defiant,Crumbling,Defeated,Change,Crazy,Different,Competition,Combative,Careful,Driver/Pilot,Escape,Committed,Damage,Different,Efficient,Combative,Damage,Dripping,Dispute,Delay,Damaged,Desolate,Cloud,Damaged,Creepy,Danger,Dark,Deceit,Deceive,Ei,Defeat,Delightful,Enemy,Death,Danger,Electrical,Crash,Damage,Danger,Damaged,Disgusting,Elements
24,Delightfully,Emotion,Delightfully,Empty,Emotional,Emotionless,Disinterested,Delay,Curious,Defiant,Charge,Creepy,Dirty,Conflict,Crazy,Careless,Elite,Failure,Competitive,Danger,Dominate,Energy,Commercial,Dark,Elements,Divide,Disrupt,Dangerous,Dirty,Cold,Danger,Cruel,Deceive,Delightful,Decrease,Decrease,Ell,Defiant,Desired,Enhance,Deceive,Death,Evocative,Creaking,Dark,Dark,Danger,Elements,Emotions
25,Dimly,Enemy,Dimly,Enormous,Energetic,Enormous,Disrupt,Disorganized,Damaged,Delightful,Communicate,Dangerous,Drab,Control,Creepy,Caring,Enemy,Fame,Confident,Deceit,Driven,Enormous,Competitive,Death,Exotic,Emotions,Divide,Dark,Door,Colorful,Dark,Cult,Decrease,Dirty,Defense,Defect,Elements,Disrupt,Domestic,Enter,Defense,Dirty,Faded,Creepy,Death,Death,Defense,Enemies,Enemies
26,Efficiently,Energy,Efficiently,Extraordinary,Epic,Exploitive,Distracted,Divide,Dangerous,Emotional,Compete,Deceive,Elegant,Crime,Curious,Cautious,Enforcer,Family,Control,Decrease,Emotion,Environment,Constructive,Deceive,ExtraLimbs,Enemies,Dominate,Desolate,Dry,Combative,Death,Dangerous,Defeated,Domestic,Destroy,Defense,Emotion,Enemies,Empty,Escape,Delay,Disagreeable,Faint,Cries,Deceive,Defense,Desert,Energy,Energy
27,Emotionally,Environment,Emotionally,Extravagant,Evil,Explorers,Dominate,Efficient,Dark,Energetic,Control,Decrease,Equipment,Damaged,Defiant,Cheerful,Engineer,Fear,Crazy,Defense,Enemy,Extravagant,Controlling,Decrease,Fangs,Environment,Dreams,Different,Elements,Communicate,Delicate,Dark,Defiant,Empty,Detect,Deformed,Ess,Extravagant,Energy,Evidence,Destroy,Disgusting,Familiar,Damage,Decrease,Elaborate,Dry,Environment,Environment
28,Energetically,Expectation,Energetically,Faded,Exterior,Familiar,Energetic,Enemies,Difficult,Equipped,Crazy,Defiant,Exotic,Danger,Delightful,Classy,Entertainer,Fight,Creative,Develop,Energy,Festive,Crazy,Defense,Feminine,Evil,Elements,Dirty,Empty,Confuse,Dry,Death,Delay,Enclosed,Dimensions,Detect,Est,Faded,Enormous,Failure,Detect,Dispute,Fetid,Danger,Defense,Empty,Dull,Evil,Event
29,Enormously,Exterior,Enormously,Familiar,Failure,Fast,Excited,Energy,Dirty,Excited,Cruel,Delay,Expensive,Death,Disagreeable,Clean,Executive,Find,Crude,Dispute,Environment,Flawless,Creative,Depower,Feral,Expose,Emotions,Disagreeable,Encounter,Constrain,Elements,Deceit,Disrupt,Enormous,Elements,Diminish,Et,Fame,Equipment,Family,Dimensions,Drink,Fishy,Disagreeable,Destroy,Energy,Elements,Fast,Evil
30,Enthusiastically,Extravagance,Enthusiastically,Fancy,Fame,Feeble,Exotic,Failure,Discouraging,Expected,Damage,Disrupt,Extravagant,Deceive,Dispute,Clumsy,Expert,Free,Curious,Disrupt,Failure,Frightening,Creepy,Detect,Filthy,Failure,Enemies,Drab,Enemies,Control,Encounter,Destroyer,Divide,Entrance,Emotion,Disrupt,Fah,Family,Expected,Free,Diminish,Elements,Floral,Distant,Detect,Engine,Empty,Fear,Failure
31,Excitedly,Failure,Excitedly,Feeble,Familiar,Feral,Familiar,Ferocious,Dripping,Familiar,Deceive,Dominate,Eyewear,Decrease,Efficient,Colorful,Explorer,Friend,Deceptive,Domestic,Fame,Government,Cruel,Disrupt,Fire,Fame,Energy,Dull,Enormous,Create,Enormous,Disgusting,Elements,Exclusive,Energy,Dominate,Fer,Headquarters,Expended,Friend,Diminish,Empty,Food,Drip,Diminish,Enormous,Energy,Fight,Fears
32,Fearfully,Fame,Fearfully,Festive,Fearful,Ferocious,Fearful,Fight,Dry,Fast,Defend,Efficient,Familiar,Defeated,Energetic,Combative,Family,Goal,Determined,Dominate,Familiar,Happy,Curious,Distract,Fungal,Fear,Environment,Empty,Evil,Creepy,Environment,Dominate,End,Exposed,Enhance,Elements,Fi,Heirloom,Extravagant,Good,Disrupt,Enemies,Foul,Echo,Disease,Environment,Enormous,Floating,Festive
33,Ferociously,Fear,Ferociously,Flawless,Festive,Friendly,Feeble,Food,Echo,Feeble,Defiant,Energetic,Fancy,Disaster,Enthusiastic,Commanding,Farmer,Gratify,Devoted,Driving,Fast,Harsh,Dangerous,Dominate,Furry,Fight,Evil,Enormous,Exit,Crush,Fearful,Dreams,Enemies,Extravagant,Environment,Energy,Floral,Hero,Faded,Group,Distance,Energy,Fragrant,Emotion,Dominate,Escape,Environment,Friendly,Fight
34,Fiercely,Freedom,Fiercely,Forlorn,Fierce,Frightening,Ferocious,Foolish,Elements,Feminine,Delay,Excited,Features,Dispute,Excited,Common,Fighter,Group,Disagreeable,Elements,Feeble,Healthy,Declining,Drain,Gaunt,Frantic,Failure,Expected,Extravagant,Damaged,Feeble,Elements,Energy,Familiar,Escape,Enhance,Gah,History,Familiar,Harm,Dominate,Extravagance,Fresh,Energetic,Duplicate,Exit,Fertile,Frightening,Friendship
35,Foolishly,Friend,Foolishly,Fragile,Fortunate,Fungal,Fierce,Fortunate,Empty,Ferocious,Disrupt,Expose,Feminine,Emotion,Fearful,Competitive,Fixer,Guide,Dull,Energy,Flawless,Helpful,Defiant,Element,Glowing,Free,Fame,Extravagant,Faded,Danger,Fierce,Emotions,Evil,Fancy,Evil,Environment,Go,Home,Fancy,Headquarters,Duplicate,Failure,Fruity,Explosion,Earth,Exterior,Frightening,Glad,Frightening
36,Fortunately,Goal,Fortunately,Fragrant,Frantic,Furry,Fight,Frantic,Enormous,Foe,Divide,Fearful,Festive,Environment,Fierce,Confident,Foreigner,Guilt,Emotion,Environment,Focused,Hills,Delightful,Energy,Group,Friendship,Family,Faded,Familiar,Dark,Food,Enemies,Expose,Festive,Explode,Expose,Grah,Important,Flora,Help,Electricity,Fear,Funky,Familiar,Elements,Fear,Habitable,Glow,Future
37,Frantically,Group,Frantically,Fresh,Fresh,Generous,Flee,Fresh,Exit,Foolish,Dominate,Feeble,Frail,Escape,Foolish,Crazy,Friend,Hate,Empathetic,Experienced,Fortunate,History,Developed,Enhanced,Growling,Goals,Fate,Fancy,Fancy,Deceive,Fortunate,Energy,Failure,Foreboding,Fear,Extra,Hee,Imprison,Fortunate,Helpless,Elements,Fight,Good,Ferocious,Emotion,Food,Harsh,Goals,Goals
38,Freely,Health,Freely,Full,Frightening,Gentle,Follow,Frightening,Exotic,Fortunate,Energetic,Fierce,Hair,Exile,Frantic,Curious,Gambler,Heal,Fair,Expert,Friends,Illness,Disagreeable,Entangle,Healthy,Good,Fear,Festive,Fears,Delay,Fresh,Enormous,Fame,Fortunate,Fire,Eyes,Ia,Increase,Fragile,Hidden,Emission,Food,Grassy,Footsteps,Enemies,Full,Hazy,Good,Good
39,Frighteningly,Hindrance,Frighteningly,Glorious,Glorious,Glowing,Food,Helpful,Fall,Fragrant,Enthusiastic,Fight,Hairy,Experience,Frightening,Dangerous,Gatherer,Help,Fastidious,Fight,Good,Important,Distrustful,Environment,Horns,Guide,Feeble,Food,Foreboding,Deprive,Harsh,Evil,Fear,Fragrant,Flight,Fear,Ick,Information,Fragrant,Idea,Emotion,Fresh,Gratifying,Frantic,Energy,Hall,Healthy,Guide,Guidance
40,Fully,Home,Fully,Graceful,Goals,Graceful,Frantic,Helpless,Flora,Frantic,Expectation,Foolish,Headwear,Failure,Generous,Different,Guardian,Hide,Follower,Free,Healthy,Impressive,Dominant,Extra,Humanoid,Harm,Fight,Frightening,Full,Disrupt,Healthy,Feminine,Fight,Frantic,Food,Fight,In,Intrigue,Frightening,Immediate,Enemies,Friendship,Heady,Frightening,Enhance,Health,Helpful,Harm,Harm
41,Generously,Hope,Generously,Hard,Hard,Harsh,Friendship,Illness,Frightening,Friend,Fearful,Frantic,Heavy,Faith,Gentle,Difficult,Healer,Home,Foolish,Guide,Illness,Industry,Dull,Fear,Inscribed,Help,Friends,Full,Furnishings,Divide,Helpful,Fallen,Find,Frightening,Gem,Fly,Iss,Investment,Garbage,Impending,Energy,Fuel,Heavy,Grinding,Environment,Helpful,Hostile,Helpful,Helpful
42,Gently,Idea,Gently,Harsh,Harsh,Helpful,Frightening,Lacking,Full,Frightened,Ferocious,Frightening,Hurt,Fame,Glad,Dirty,Helpless,Hope,Friendly,Harm,Impaired,Interesting,Efficient,Fight,Insect-like,Helpful,Frightening,Home,Gate,Door,Important,Fear,Free,Full,Good,Free,Je,Land,Guidance,Important,Enhance,Good,Herbal,Growl,Expose,Important,Hot,Helpless,Helpless
43,Gladly,Illness,Gladly,Healthy,Heavy,Humanoid,Generous,Large,Fungus,Frightening,Fierce,Generous,Innocent,Family,Grateful,Disagreeable,Hero,Idea,Good,Heal,Increase,Intrigues,Expanding,Fire,Insubstantial,Hidden,Goals,Investment,Good,Drop,Information,Fertility,Friendship,Harmful,Group,Harm,Ke,Large,Hard,Incapacitate,Environment,Health,Horrible,Hammering,Fire,Information,Intense,Historical,Hint
44,Gracefully,Illusion,Gracefully,Heavy,Historical,Hungry,Gentle,Lavish,Good,Generous,Fight,Gentle,Insignia,Fortunate,Haggle,Disciplined,Hunter,Illness,Gourmet,Health,Information,Isolated,Failed,Flight,Intelligent,Hope,Good,Inviting,Harm,Duplicate,Intense,Festive,Frightening,Helpful,Harm,Heal,Jen,Leadership,Harmful,Information,Explosion,Helpful,Humid,Helpful,Fix,Inquire,Interesting,Horrible,Hope
45,Gratefully,Individual,Gratefully,Historical,Hopeful,Immortal,Graceful,Lazy,Hard,Glad,Flee,Harm,Intense,Free,Happy,Educated,Information,Important,Greed,Increase,Inspect,Lacking,Famous,Harm,Intimidating,Horrible,Gratify,Lacking,Heavy,Elaborate,Interesting,Fire,Good,Horrible,Heal,Health,Kha,Legal,Healing,Injustice,Extra,Hope,Industrial,Imitate,Food,Interesting,Large,Hungry,Horrible
46,Happily,Information,Happily,Horrible,Horrible,Insectlike,Harm,Leadership,Harm,Happy,Frantic,Harsh,Interesting,Freedom,Harsh,Elegant,Innocent,Imprison,Haunted,Inform,Intellect,Lake,Fearful,Heal,Large,Important,Guide,Large,Helpful,Enemies,Lacking,Frightening,Guide,Important,Health,Heat,Kr,Leverage,Heavy,Leader,Fire,Important,Interesting,Important,Free,Lacking,Lethal,Imitate,Hurry
47,Hastily,Innocent,Hastily,Important,Horror,Insubstantial,Hasty,Lethal,Harsh,Harmful,Free,Hasty,Intimidating,Friend,Hasty,Erratic,Inspector,Increase,Helpful,Information,Intense,Large,Festive,Illness,Levitating,Information,Happiness,Lavish,Hole,Energy,Lake,Generous,Harm,Impressive,Helpful,Helpful,Lah,Liberty,Helpful,Legal,Flight,Information,Intoxicating,Indistinct,Group,Large,Life,Information,Ideas
48,Healthily,Intellect,Healthily,Interesting,Important,Intelligent,Helpful,Loud,Hole,Helpful,Frightening,Helpful,Jewelry,Gifts,Helpful,Exotic,Intellectual,Information,Honest,Inquire,Interesting,Lavish,Free,Illusion,Limited,Innocent,Harm,Less,Important,Fall,Large,Gentle,Heal,Inactive,Illness,Horrible,Lee,Love,Horrible,Lethal,Free,Joy,Irritating,Industry,Guide,Lavish,Lovely,Insubstantial,Implore
49,Helpfully,Interior,Helpfully,Juvenile,Inquire,Intimidating,Helpless,Loyal,Huge,Helpless,Harm,Imitate,Large,Good,Helpless,Fancy,Investigator,Innocent,Honor,Inspect,Lacking,Leadership,Generous,Imitate,Liquid,Instruction,Health,Light,Information,Fear,Lean,Gifts,Help,Intense,Illusion,Imitate,Len,Loyal,Important,Lie,Friend,Large,Lacking,Information,Hamper,Lethal,Magnificent,Intelligent,Important
50,Helplessly,Investment,Helplessly,Lacking,Inspect,Large,Hungry,Mighty,Icy,Hurt,Harsh,Important,Lavish,Guided,Hopeless,Fast,Judge,Intellect,Humble,Intellect,Large,Liberty,Greedy,Immune,Loud,Intrigues,Helpless,Loud,Interesting,Fight,Ledge,Glorious,Helpless,Intriguing,Imbue,Immunity,Lin,Magnificent,Inactive,Limit,Harm,Lavish,Laden,Innocent,Harm,Loud,Masses,Large,Incomplete
51,Hopelessly,Leadership,Hopelessly,Large,Intellect,Lethal,Hunt,Mysterious,Interesting,Important,Hasty,Imprison,Lean,Hard,Ideas,Foul,Killer,Intolerance,Humorous,Invade,Leadership,Loud,Happy,Imprison,Mammalian,Language,Home,Magnificent,Large,Fire,Lethal,Good,Hero,Lively,Imitate,Imprison,Location,Malice,Information,Location,Heal,Lean,Malodorous,Intense,Heal,Magnificent,Mechanical,Leadership,Information
52,Innocently,Legal,Innocently,Lavish,Intense,Levitating,Ignore,Normal,Large,Inactive,Hide,Increase,Limbs,Harm,Inform,Frightened,Laborer,Investment,Inconsistent,Investigative,Legal,Magnificent,Healthy,Increase,Mandibles,Leadership,Illness,Mechanical,Lavish,Floor,Loud,Guide,Hidden,Lonely,Increase,Increase,Ly,Mighty,Intriguing,Lucky,Heat,Less,Meaningful,Interesting,Helpful,Maintenance,Message,Lethal,Instruction
53,Intensely,Location,Intensely,Lean,Interesting,Liquid,Imitate,Path,Ledge,Influential,Imitate,Inspect,Lithe,Harsh,Innocent,Gentle,Lackey,Jealousy,Independent,Knowledge,Less,Masses,Helpful,Intelligent,Masculine,Legal,Illusions,Messy,Lethal,Frightening,Magnificent,Harm,Historical,Long,Information,Information,Mah,Military,Large,Mental,Help,Lethal,Medicinal,Irritating,Ice,Meaningful,Mighty,Light,Liberty
54,Interestingly,Military,Interestingly,Less,Intrigue,Mammalian,Implore,Persecute,Lethal,Innocent,Imprison,Intense,Masculine,Heal,Inquire,Harmful,Law,Joy,Interesting,Leadership,Lethal,Meaningful,Helpless,Itself,Mechanical,Legend,Imprison,Modern,Light,Harm,Majestic,Harsh,Illness,Loud,Inhibit,Inspect,Military,Misfortune,Lethal,Missing,Hide,Mechanical,Metallic,Loud,Illusion,Mechanical,Misfortune,Limited,Lies
55,Irritatingly,Misfortune,Irritatingly,Lethal,Lavish,Many-eyed,Imprison,Power,Light,Intense,Kill,Juvenile,Mature,Helped,Intense,Helpful,Leader,Justice,Intolerant,Legal,Limited,Mechanical,Historical,Lethal,Metallic,Liberty,Incapacity,Mundane,Magnificent,Heat,Masses,Heal,Important,Meaningful,Instant,Large,Misdeed,Move,Light,Mundane,Illusion,Medicinal,Mildew,Machinery,Imbue,Message,Mountainous,Lonely,Love
56,Joyfully,Mundane,Joyfully,Lively,Legal,Militaristic,Inspect,Problems,Loud,Knowledgeable,Lead,Kind,Messy,Heroic,Interesting,Heroic,Legal,Leader,Irresponsible,Lethal,Loyal,Messy,Important,Light,Movement,Lies,Information,Mysterious,Malice,Heavy,Mature,Humanoid,Imprison,Messy,Jewelry,Learn,N,Mysterious,Liquid,Mystery,Imbue,Messy,Moist,Meaningful,Immunity,Messy,Multiple,Love,Malice
